"","head_length","SE"
"CanmA",15.0666666666667,0.635959467611297
"CchlB",9.6,0.152752523165194
"CclsB",12.8,0.251661147842358
"CfunA",14.7333333333333,0.417665469538055
"CgalB",13.2333333333333,0.176383420737639
"ColiA",15.1666666666667,0.405517502019881
"CspiB",12.2666666666667,0.145296631451356
"CtriB",10.2333333333333,0.176383420737639
"EdisA",13.6333333333333,0.185592145427667
"HambC",11.9666666666667,0.417665469538056
"HflaA",7.83333333333333,0.272845092395748
"LchrC",14.1666666666667,1.11405166447123
"LcocA",12.2,0.3
"LfasA",10.1333333333333,0.384418753155693
"LlirB",8.03333333333333,0.0333333333333332
"NaspA",8.66666666666667,0.0881917103688198
"NbooA",8.66666666666667,0.0333333333333332
"NbucA",8.46666666666667,0.202758751009941
"NeffA",15.6666666666667,0.352766841475279
"NhudA",12.3,0.208166599946613
"NlepA",16.6666666666667,0.185592145427667
"NleuA",8.73333333333333,0.2185812841434
"NmicA",16.4333333333333,0.433333333333334
"NrupA",9.2,0.208166599946613
"NsceA",9.83333333333333,0.20275875100994
"NserA",8.2,0.208166599946613
"NspeA",9.4,0.1
"NtelA",10.5,0.152752523165195
"NvolA",9.96666666666667,0.145296631451356
"NxaeA",10.4,0.115470053837925
"PcatA",10.2333333333333,0.384418753155693
"PnotA",12.1333333333333,0.20275875100994
"RcatA",13.5,0.321455025366432
"RobtA",13.6,0.3
"SatrA",18.7666666666667,0.371184290855335
