Species,SVL,TL,SE,FLL,HLL,Fingers,Toes
Agamodon anguliceps,74.7,8.3,3.1,0,0,0,0
Amphisbaena alba,474,40.1,12.6,0,0,0,0
Bipes biporus,167.2,16,3.6,6.1,0,5,0
Bipes caniculatus,182.5,29.6,4.5,6.5,0,4,0
Bipes tridactylus,127.5,36,3.7,6,0,3,0
Blanus cinereus,174.9,21.8,4.1,0,0,0,0
Chirindia swimmertoni,126,14.5,2,0,0,0,0
Diplometopon zarudnyi,148.7,12.3,4.3,0,0,0,0
Geocalamus acutus,230.7,26.3,4.5,0,0,0,0
Monopeltis capensis,298.7,9.3,4.5,0,0,0,0
Rhineura floridana,317.2,16.5,5.4,0,0,0,0
Trogonophis wiegmanni,157.5,10.9,5.7,0,0,0,0
Abronia graminea,96.2,144,13.1,22.9,30.5,5,5
Anguis fragilis,142.3,148.1,6.7,0,0,0,0
Anniella geronimensis,118.5,51.9,4.3,0,0,0,0
Anniella pulchra,137.9,62.9,5,0,0,0,0
Barisia imbricata,110.3,139.4,13.8,22,28,5,5
Celestus enneagrammus,72.6,99.2,7.3,11,16.1,5,5
Diploglossus bilobatus,70.3,97,7.5,10.7,16.2,5,5
Diploglossus pleei,87.2,97.6,7.8,9.6,15.3,5,5
Elgaria coerulea,86.5,149.3,11.4,19.8,27.3,5,5
Elgaria kingii,79.6,165.1,9.3,14.2,19.1,5,5
Elgaria multicarinata,110.4,204.5,13.5,25.5,32,5,5
Elgaria panamintina,109.9,192.7,13.2,24.6,31.1,5,5
Elgaria paucicarinata,87.6,132.5,11,16.2,23.3,5,5
Gerrhonotus liocephalus,131.7,238.8,15.4,24,28.4,5,5
Mesaspis moreleti,66.8,103.8,8.2,15.1,19,5,5
Ophiodes striatus,184.2,311.2,9.7,0,8,0,1
Ophisaurus apodus,321.2,534.2,21,0,2.8,0,1
Ophisaurus attenuatus,200.2,508.7,13.2,0,0,0,0
Ophisaurus harti,205.2,317.5,11,0,0,0,0
Ophisaurus koellikeri,183.3,333,12,0,4.4,0,1
Ophisaurus ventralis,212.7,419.6,13.8,0,0,0,0
Sauresia agasepsoides,60,61,4,3.4,6.8,4,4
Wetmorena haetiana,68.7,72,6.2,6.9,11.1,4,4
Chamaesaura anguina,121.6,444.7,9.3,3.9,7.2,1,1
Cordylus cataphractus,89,86.1,15.1,29.8,39.4,5,5
Cordylus cordylus,82.4,87.8,13.1,26.8,39.1,5,5
Cordylus jordani,93.6,114.2,14.7,32.9,46,5,5
Cordylus warreni,108.6,127.3,17.5,34.1,50.3,5,5
Platysaurus rhodiseinsis,97.3,141.6,14.7,37.3,51.4,5,5
Pseudocordylus microlepidotus,122.4,159.2,20.3,40.3,57.2,5,5
Dibamus novaeguineae,128.3,16.4,2.6,0,1.1,0,0.4
Coleonyx elegans,76.9,75.5,12.9,24.7,31,5,5
Diplodactylus damaeus,50.4,44.1,8.6,14.2,20.6,5,5
Gekko gecko,146.2,132.5,25.7,37.1,44.3,5,5
Gonatodes albogularis,39.2,47.8,6.8,12.1,17,5,5
Oedura coggeri,71.3,43.8,11.9,17.1,21.1,5,5
Teratoscincus scincus,96.7,57.1,17.4,32.8,44.5,5,5
Angolosaurus skoogi,132.4,119.3,17.1,38,53.8,5,5
Cordylosaurus trivittata,41,75.4,5,9.4,14.8,5,5
Gerrhosaurus major,210.3,271.3,27.5,51.1,71,5,5
Gerrhosaurus nigrolineatus,96.8,241.3,14.2,22.9,43.5,5,5
Tetradactylus africanus,86.3,268.2,7.7,1.3,3.9,1,1
Tetradactylus seps,51.6,94.2,6,9.3,17,5,5
Tetradactylus tetradactylus,66.2,194.2,5.8,6.1,7.5,4,4
Tracheloptychus madagascariensis,55.4,103.8,9.2,17.8,38.6,5,5
Zonosaurus ornatus,121.5,163.2,16.6,25.9,47.9,5,5
Alopoglossus atriventris,45.4,68.6,7.2,13.8,21.1,5,5
Alopoglossus carinicaudatus,54.9,93,7.8,14.3,22.2,5,5
Alopoglossus copii,51.6,88.6,7.6,14.9,25.5,5,5
Arthrosaura kockii,48.5,81.7,7.6,14.5,22.9,5,5
Arthrosaura reticulata,59.1,98.2,7.8,15.1,25.3,5,5
Bachia bresslaui,98.6,142,6.1,2.7,3,1,1
