Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-6016.589	-6002.739	-13.84962	0.9596292	1	0.08384661	0.01357676	0.119897	0.00792721	0.158523	0.0653115	0.154515	0.493826	0.06973892	0.136954	0.476752	1	2.38629	0.229499	0.442159	0.0222462	0.306096	0.08331567	0.8370444
1	1	-5887.76	-5871.531	-16.22919	0.7743796	1	0.3138305	-0.1242396	0.535392	0.0070854	0.0740173	0.148865	0.0424705	0.19217	0.1466826	0.136954	0.476752	1	2.38629	0.183437	0.322772	0.0955223	0.398269	0.02244303	6.535775
2	0	-4547.341	-4533.252	-14.08907	0.8108781	0.2206992	0.1305337	0.0809548	0.0596735	0.00855734	0.13706	0.0468138	0.299841	0.448055	0.02212711	0.0010149	0.0465049	0.435498	3.51698	0.285524	0.323236	0.0792491	0.311991	0.1030819	0.2146556
3	1	-4870.882	-4854.957	-15.92455	0.3692591	0.1799886	0.26196	-0.1628931	0.592661	0.0119216	0.0822186	0.166191	0.0679988	0.0790093	0.1856258	0.00024647	0.0230868	0.329456	3.64721	0.200039	0.27809	0.14989	0.37198	0.02273266	8.165598
4	0	-4302.081	-4287.477	-14.60355	0.365664	0.288514	0.2400228	0.05893761	0.0513843	0.0174319	0.0881038	0.0299134	0.525178	0.287989	0.015223	0.00440994	0.095595	0.576	3.324	0.313429	0.303596	0.129588	0.253387	0.07416061	0.2052707
5	1	-4638.384	-4622.995	-15.38858	0.3861028	0.3137905	0.1545657	-0.1848038	0.585645	0.0381328	0.0573617	0.104385	0.136401	0.078074	0.2266442	0.00648046	0.115257	0.618251	3.26001	0.206904	0.270817	0.149612	0.372667	0.04184036	5.416879
6	0	-4173.406	-4156.613	-16.79386	0.3728244	0.2810199	0.2129287	0.2578077	0.0493828	0.0248452	0.0283379	0.0168369	0.658764	0.221833	0.04724887	0.00388227	0.089837	0.562507	3.34377	0.32207	0.268886	0.175626	0.233417	0.3050565	0.1548856
7	1	-4188.523	-4170.517	-18.00605	0.3744656	0.2623358	0.139996	-0.4711934	0.275315	0.0703289	0.0533383	0.0627326	0.464082	0.0742027	0.5182234	0.00273721	0.0757322	0.526788	3.39474	0.248641	0.260247	0.185265	0.305848	0.04703002	11.01899
8	0	-3921.646	-3906.412	-15.23413	0.3637688	0.2544462	0.1931191	0.1844753	0.0458127	0.124898	0.0145612	0.0132631	0.611138	0.190327	0.01391879	0.00232548	0.0699192	0.510769	3.41699	0.301055	0.257112	0.201856	0.239977	0.1983941	0.07015729
9	1	-3966.435	-3951.725	-14.71065	0.4124104	0.3194008	0.17327	-0.1403747	0.0971638	0.0865296	0.0217955	0.0423534	0.691878	0.0602802	0.1557304	0.00700043	0.119647	0.62699	3.24636	0.292362	0.264975	0.188024	0.254638	0.01535576	10.1415
