Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6016.589	-6002.739	-13.84962	0.9596292	1	0.08384661	0.01357676	0.119897	0.00792721	0.158523	0.0653115	0.154515	0.493826	0.06973892	0.136954	0.476752	1	2.38629	0.229499	0.442159	0.0222462	0.306096	0.08331567	0.8370444
10	-4547.341	-4533.252	-14.08907	0.8108781	0.2206992	0.1305337	0.0809548	0.0596735	0.00855734	0.13706	0.0468138	0.299841	0.448055	0.02212711	0.0010149	0.0465049	0.435498	3.51698	0.285524	0.323236	0.0792491	0.311991	0.1030819	0.2146556
20	-4302.081	-4287.477	-14.60355	0.365664	0.288514	0.2400228	0.05893761	0.0513843	0.0174319	0.0881038	0.0299134	0.525178	0.287989	0.015223	0.00440994	0.095595	0.576	3.324	0.313429	0.303596	0.129588	0.253387	0.07416061	0.2052707
30	-4173.406	-4156.613	-16.79386	0.3728244	0.2810199	0.2129287	0.2578077	0.0493828	0.0248452	0.0283379	0.0168369	0.658764	0.221833	0.04724887	0.00388227	0.089837	0.562507	3.34377	0.32207	0.268886	0.175626	0.233417	0.3050565	0.1548856
40	-3921.646	-3906.412	-15.23413	0.3637688	0.2544462	0.1931191	0.1844753	0.0458127	0.124898	0.0145612	0.0132631	0.611138	0.190327	0.01391879	0.00232548	0.0699192	0.510769	3.41699	0.301055	0.257112	0.201856	0.239977	0.1983941	0.07015729
50	-3836.365	-3820.746	-15.61853	0.3695989	0.1955048	0.2609908	0.1540204	0.0256625	0.149519	0.0124879	0.00804354	0.718085	0.0862023	0.01244186	0.000453217	0.0312231	0.371824	3.5965	0.300999	0.296724	0.161135	0.241142	0.1664623	0.07474283
60	-3781.624	-3766.413	-15.21098	0.3663523	0.2602112	0.1746709	0.1952297	0.0220706	0.271869	0.0188071	0.00663918	0.628844	0.05177	0.01708969	0.00262221	0.0741571	0.522531	3.40069	0.32679	0.250576	0.165487	0.257147	0.2123194	0.0804905
70	-3750.046	-3735.499	-14.54676	0.3860558	0.2039647	0.1843878	0.1251886	0.0149627	0.503801	0.0135561	0.00626117	0.426322	0.0350973	0.009527558	0.000607494	0.0360936	0.393926	3.56937	0.323164	0.300413	0.123076	0.253347	0.1347161	0.07072322
80	-3746.27	-3732.076	-14.19354	0.3895435	0.2436914	0.1886646	0.09292446	0.0099892	0.511523	0.0137639	0.0102211	0.432856	0.0216469	0.002624311	0.00183066	0.0621733	0.487991	3.448	0.315583	0.30208	0.127584	0.254753	0.09554877	0.02746567
90	-3742.197	-3727.698	-14.4985	0.386848	0.2309298	0.1867382	0.1223016	0.0139534	0.468697	0.0181633	0.00321659	0.485456	0.0105138	0.006216154	0.00133885	0.0533065	0.459508	3.48585	0.298448	0.286592	0.152702	0.262258	0.1285177	0.04836806
100	-3739.446	-3724.348	-15.0981	0.3735935	0.1986797	0.200853	0.181902	0.0147671	0.517914	0.016488	0.00262208	0.442726	0.00548359	0.00268956	0.000507375	0.0330173	0.380203	3.58627	0.300298	0.299469	0.146295	0.253939	0.1845915	0.01457033
110	-3739.991	-3724.58	-15.41058	0.3216861	0.209405	0.2052428	0.2180105	0.0153479	0.517563	0.0164768	0.002706	0.442426	0.00547988	0.005452938	0.000724301	0.0393713	0.407755	3.55215	0.297672	0.301363	0.134287	0.266679	0.2234634	0.02440192
120	-3741.193	-3726.407	-14.78634	0.3347003	0.233721	0.2128112	0.1318075	0.0131788	0.516077	0.0150397	0.00177753	0.441993	0.0119339	0.006461318	0.00143787	0.0552121	0.465876	3.47747	0.305448	0.308758	0.137582	0.248213	0.1382688	0.04673011
130	-3744.539	-3730.135	-14.4041	0.3353705	0.178433	0.2325677	0.07028115	0.01125	0.458426	0.0177649	0.00337921	0.496037	0.0131422	0.004332368	0.000230515	0.0223328	0.325084	3.65235	0.321794	0.296188	0.140221	0.241796	0.07461351	0.05806412
140	-3741.875	-3727.155	-14.7206	0.276317	0.2142072	0.2809046	0.01779577	0.00984909	0.457155	0.0152213	0.0034154	0.500118	0.0142414	0.02217856	0.000839662	0.0423526	0.419711	3.5371	0.308684	0.279282	0.146247	0.265788	0.03997433	0.5548201
150	-3741.251	-3726.14	-15.11129	0.2034899	0.1727402	0.3084584	0.03229901	0.0130777	0.486047	0.0123733	0.00293189	0.476092	0.00947744	0.0238109	0.000178588	0.0196753	0.3089	3.67125	0.288879	0.282291	0.158989	0.269841	0.05610991	0.4243618
160	-3736.414	-3719.283	-17.13072	0.1731704	0.1745916	0.3736448	0.1747454	0.00821613	0.512948	0.0118342	0.00436631	0.452017	0.0106184	0.04042363	0.000194401	0.0205217	0.314194	3.66509	0.29581	0.319506	0.124991	0.259694	0.215169	0.1878692
170	-3735.782	-3718.424	-17.35783	0.2007372	0.1941558	0.3475567	0.1437281	0.0071933	0.530384	0.00594697	0.0042679	0.441829	0.0103791	0.08459713	0.000431508	0.0304734	0.368234	3.60086	0.284575	0.31037	0.128922	0.276133	0.2283253	0.3705115
